EGP Rate,order_id,item_id,product_id,quantity,list_price,discount,extract_time,source,list_price_egp
47.924824,1,1.0,20,1,599.99,0.2,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,1,2.0,8,2,1799.99,0.07,2024-04-30 13:07:13.468028,postgres,86264.20395176
47.924824,1,3.0,10,2,1549.0,0.05,2024-04-30 13:07:13.468028,postgres,74235.552376
47.924824,1,4.0,16,2,599.99,0.05,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,1,5.0,4,1,2899.99,0.2,2024-04-30 13:07:13.468028,postgres,138981.51035176
47.924824,2,1.0,20,1,599.99,0.07,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,2,2.0,16,2,599.99,0.05,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,3,1.0,3,1,999.99,0.05,2024-04-30 13:07:13.468028,postgres,47924.34475176
47.924824,3,2.0,20,1,599.99,0.05,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,4,1.0,2,2,749.99,0.1,2024-04-30 13:07:13.468028,postgres,35943.13875176
47.924824,5,1.0,10,2,1549.0,0.05,2024-04-30 13:07:13.468028,postgres,74235.552376
47.924824,5,2.0,17,1,429.0,0.07,2024-04-30 13:07:13.468028,postgres,20559.749496
47.924824,5,3.0,26,1,599.99,0.07,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,6,1.0,18,1,449.0,0.07,2024-04-30 13:07:13.468028,postgres,21518.245976000002
47.924824,6,2.0,12,2,549.99,0.05,2024-04-30 13:07:13.468028,postgres,26358.17395176
47.924824,6,3.0,20,1,599.99,0.1,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,6,4.0,3,2,999.99,0.07,2024-04-30 13:07:13.468028,postgres,47924.34475176
47.924824,6,5.0,9,2,2999.99,0.07,2024-04-30 13:07:13.468028,postgres,143773.99275176
47.924824,7,1.0,15,1,529.99,0.07,2024-04-30 13:07:13.468028,postgres,25399.677471760002
47.924824,7,2.0,3,1,999.99,0.1,2024-04-30 13:07:13.468028,postgres,47924.34475176
47.924824,7,3.0,17,2,429.0,0.1,2024-04-30 13:07:13.468028,postgres,20559.749496
47.924824,8,1.0,22,1,269.99,0.05,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,8,2.0,20,2,599.99,0.07,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,9,1.0,7,2,3999.99,0.1,2024-04-30 13:07:13.468028,postgres,191698.81675176
47.924824,10,1.0,14,1,269.99,0.1,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,11,1.0,8,1,1799.99,0.05,2024-04-30 13:07:13.468028,postgres,86264.20395176
47.924824,11,2.0,22,2,269.99,0.1,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,11,3.0,16,2,599.99,0.2,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,12,1.0,4,2,2899.99,0.1,2024-04-30 13:07:13.468028,postgres,138981.51035176
47.924824,12,2.0,11,1,1680.99,0.05,2024-04-30 13:07:13.468028,postgres,80561.14989576
47.924824,13,1.0,13,1,269.99,0.1,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,13,2.0,17,2,429.0,0.05,2024-04-30 13:07:13.468028,postgres,20559.749496
47.924824,13,3.0,20,2,599.99,0.1,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,13,4.0,16,2,599.99,0.05,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,14,1.0,6,1,469.99,0.07,2024-04-30 13:07:13.468028,postgres,22524.18803176
47.924824,15,1.0,12,2,549.99,0.07,2024-04-30 13:07:13.468028,postgres,26358.17395176
47.924824,15,2.0,8,1,1799.99,0.07,2024-04-30 13:07:13.468028,postgres,86264.20395176
47.924824,15,3.0,18,2,449.0,0.05,2024-04-30 13:07:13.468028,postgres,21518.245976000002
47.924824,15,4.0,23,2,299.99,0.2,2024-04-30 13:07:13.468028,postgres,14376.967951760002
47.924824,16,1.0,8,1,1799.99,0.2,2024-04-30 13:07:13.468028,postgres,86264.20395176
47.924824,16,2.0,21,1,269.99,0.05,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,16,3.0,13,2,269.99,0.07,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,16,4.0,14,1,269.99,0.07,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,17,1.0,8,1,1799.99,0.07,2024-04-30 13:07:13.468028,postgres,86264.20395176
47.924824,17,2.0,23,1,299.99,0.1,2024-04-30 13:07:13.468028,postgres,14376.967951760002
47.924824,17,3.0,5,1,1320.99,0.1,2024-04-30 13:07:13.468028,postgres,63308.213255760005
47.924824,17,4.0,20,2,599.99,0.2,2024-04-30 13:07:13.468028,postgres,28754.41515176
47.924824,18,1.0,2,2,749.99,0.2,2024-04-30 13:07:13.468028,postgres,35943.13875176
47.924824,18,2.0,22,1,269.99,0.05,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,18,3.0,7,1,3999.99,0.1,2024-04-30 13:07:13.468028,postgres,191698.81675176
47.924824,18,4.0,25,2,499.99,0.05,2024-04-30 13:07:13.468028,postgres,23961.93275176
47.924824,18,5.0,9,2,2999.99,0.1,2024-04-30 13:07:13.468028,postgres,143773.99275176
47.924824,19,1.0,10,1,1549.0,0.07,2024-04-30 13:07:13.468028,postgres,74235.552376
47.924824,19,2.0,9,2,2999.99,0.2,2024-04-30 13:07:13.468028,postgres,143773.99275176
47.924824,20,1.0,9,1,2999.99,0.07,2024-04-30 13:07:13.468028,postgres,143773.99275176
47.924824,20,2.0,10,2,1549.0,0.07,2024-04-30 13:07:13.468028,postgres,74235.552376
47.924824,21,1.0,14,1,269.99,0.05,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,21,2.0,17,1,429.0,0.1,2024-04-30 13:07:13.468028,postgres,20559.749496
47.924824,21,3.0,10,1,1549.0,0.07,2024-04-30 13:07:13.468028,postgres,74235.552376
47.924824,22,1.0,15,2,529.99,0.2,2024-04-30 13:07:13.468028,postgres,25399.677471760002
47.924824,22,2.0,22,1,269.99,0.05,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,23,1.0,4,2,2899.99,0.05,2024-04-30 13:07:13.468028,postgres,138981.51035176
47.924824,23,2.0,23,2,299.99,0.1,2024-04-30 13:07:13.468028,postgres,14376.967951760002
47.924824,23,3.0,13,1,269.99,0.2,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,24,1.0,3,2,999.99,0.1,2024-04-30 13:07:13.468028,postgres,47924.34475176
47.924824,24,2.0,18,2,449.0,0.07,2024-04-30 13:07:13.468028,postgres,21518.245976000002
47.924824,25,1.0,23,2,299.99,0.2,2024-04-30 13:07:13.468028,postgres,14376.967951760002
47.924824,25,2.0,10,2,1549.0,0.2,2024-04-30 13:07:13.468028,postgres,74235.552376
47.924824,25,3.0,22,1,269.99,0.2,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,25,4.0,14,1,269.99,0.2,2024-04-30 13:07:13.468028,postgres,12939.223231760001
47.924824,25,5.0,21,1,269.99,0.1,2024-04-30 13:07:13.468028,postgres,12939.223231760001
